Category|Descript
ASSAULT|CHILD ABUSE (PHYSICAL)
PORNOGRAPHY/OBSCENE MAT|POSSESSION OF OBSCENE MATTER FOR SALE
ROBBERY|ROBBERY ON THE STREET WITH A GUN
WEAPON LAWS|POSS OF LOADED FIREARM
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
SECONDARY CODES|GANG ACTIVITY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
ASSAULT|BATTERY OF A POLICE OFFICER
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM PERSON
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
ASSAULT|INFLICT INJURY ON COHABITEE
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
ASSAULT|THREATS AGAINST LIFE
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SECONDARY CODES|DOMESTIC VIOLENCE
SECONDARY CODES|DOMESTIC VIOLENCE
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
NON-CRIMINAL|FOUND PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
MISSING PERSON|MISSING JUVENILE
SECONDARY CODES|ATM RELATED CRIME
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
FRAUD|FALSE ID TO PEACE OFFICER
PROSTITUTION|LOITERING FOR PURPOSE OF PROSTITUTION
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING JUVENILE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
ROBBERY|ROBBERY OF A CHAIN STORE WITH BODILY FORCE
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|SALE OF MARIJUANA
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT OF PROPERTY
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
RUNAWAY|RUNAWAY
NON-CRIMINAL|FOUND PROPERTY
FRAUD|FALSE ID TO PEACE OFFICER
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|BATTERY
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
PROSTITUTION|SOLICITS TO VISIT HOUSE OF PROSTITUTION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
FORGERY/COUNTERFEITING|MONEY, CHANGING FACE AMOUNT
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ROBBERY|ROBBERY ON THE STREET, STRONGARM
NON-CRIMINAL|CASE CLOSURE
WARRANTS|ENROUTE TO ADULT AUTHORITY
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY, VEHICLE (ARREST MADE)
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|INFLICT INJURY ON COHABITEE
VEHICLE THEFT|STOLEN MOTORCYCLE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
VEHICLE THEFT|STOLEN TRUCK
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|TURNED IN GUN
ASSAULT|THREATS AGAINST LIFE
OTHER OFFENSES|TRAFFIC VIOLATION
SECONDARY CODES|DOMESTIC VIOLENCE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|ASSAULT
LARCENY/THEFT|GRAND THEFT PICKPOCKET
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
BURGLARY|BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
OTHER OFFENSES|PAROLE VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ASSAULT|CHILD ABUSE (PHYSICAL)
NON-CRIMINAL|CIVIL SIDEWALKS, WARNING
FAMILY OFFENSES|ABANDONMENT OF CHILD
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ROBBERY|ROBBERY ON THE STREET WITH A GUN
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|AIDED CASE
BURGLARY|BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|GRAND THEFT FROM PERSON
OTHER OFFENSES|RESISTING ARREST
VEHICLE THEFT|AUTO, GRAND THEFT OF
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|FOUND PERSON
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|BEYOND PARENTAL CONTROL
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT PICKPOCKET
DRUG/NARCOTIC|POSSESSION OF HEROIN
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
BURGLARY|BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|TRAFFIC VIOLATION
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|FALSE PERSONATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
FRAUD|CREDIT CARD, THEFT BY USE OF
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
ROBBERY|ROBBERY, ARMED WITH A GUN
RUNAWAY|RUNAWAY
ROBBERY|ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON
LARCENY/THEFT|PETTY THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
FRAUD|CREDIT CARD, THEFT BY USE OF
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
ROBBERY|ROBBERY OF A RESIDENCE WITH BODILY FORCE
OTHER OFFENSES|TRAFFIC VIOLATION
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|PROBATION VIOLATION
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
OTHER OFFENSES|PAROLE VIOLATION
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT OF PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|PETTY THEFT WITH PRIOR
NON-CRIMINAL|AIDED CASE, INJURED PERSON
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
ASSAULT|BATTERY
FRAUD|FALSE ID TO PEACE OFFICER
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, MOTORCYCLE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY
VEHICLE THEFT|STOLEN TRUCK
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
TRESPASS|TRESPASSING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
LARCENY/THEFT|GRAND THEFT BICYCLE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LIQUOR LAWS|CONSUMING ALCOHOL IN PUBLIC VIEW
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|BATTERY
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
DRUG/NARCOTIC|POSSESSION OF COCAINE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM PERSON
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
LARCENY/THEFT|GRAND THEFT PICKPOCKET
RUNAWAY|RUNAWAY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY, BODILY FORCE
OTHER OFFENSES|PROBATION VIOLATION
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION
VEHICLE THEFT|STOLEN AUTOMOBILE
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM PERSON
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|TRAFFIC VIOLATION
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
OTHER OFFENSES|PAROLE VIOLATION
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|GRAND THEFT OF PROPERTY
MISSING PERSON|FOUND PERSON
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|VIOLATION OF MUNICIPAL POLICE CODE
NON-CRIMINAL|AIDED CASE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT PICKPOCKET
MISSING PERSON|MISSING ADULT
ASSAULT|THREAT OR FORCE TO RESIST EXECUTIVE OFFICER
OTHER OFFENSES|HARASSING PHONE CALLS
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
ROBBERY|ATTEMPTED ROBBERY WITH A GUN
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|PAROLE VIOLATION
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|INFLICT INJURY ON COHABITEE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WEAPON LAWS|POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
LARCENY/THEFT|GRAND THEFT PURSESNATCH
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM PERSON
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
FRAUD|CREDIT CARD, THEFT BY USE OF
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
VEHICLE THEFT|RECOVERED VEHICLE - STOLEN OUTSIDE SF
NON-CRIMINAL|LOST PROPERTY
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
DRUG/NARCOTIC|SALE OF HEROIN
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE
WARRANTS|WARRANT ARREST
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FAMILY OFFENSES|DESERTION OF CHILD
NON-CRIMINAL|LOST PROPERTY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|LOST PROPERTY, GRAND THEFT
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|AIDED CASE
OTHER OFFENSES|PROBATION VIOLATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
ASSAULT|INFLICT INJURY ON COHABITEE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|SHELTER
NON-CRIMINAL|FOUND PROPERTY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
WEAPON LAWS|WEAPON, DEADLY, CARRYING WITH INTENT TO COMMIT ASSAULT
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VEHICLE THEFT|STOLEN AUTOMOBILE
SEX OFFENSES FORCIBLE|ASSAULT TO RAPE WITH BODILY FORCE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|RESISTING ARREST
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
ASSAULT|BATTERY
OTHER OFFENSES|CONSPIRACY
TRESPASS|TRESPASSING
LARCENY/THEFT|LOST PROPERTY, GRAND THEFT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|FOUND PERSON
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
WARRANTS|WARRANT ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ROBBERY|ROBBERY OF A BANK WITH A GUN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|FOUND PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
BURGLARY|BURGLARY, UNLAWFUL ENTRY
FRAUD|DEFRAUDING AN INNKEEPER
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY ON THE STREET, STRONGARM
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
WEAPON LAWS|POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
VEHICLE THEFT|STOLEN AUTOMOBILE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
ASSAULT|BATTERY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|AIDED CASE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ROBBERY|ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
OTHER OFFENSES|PERMIT VIOLATION, POLICE (GENERAL)
BURGLARY|BURGLARY OF WAREHOUSE, FORCIBLE ENTRY
EMBEZZLEMENT|EMBEZZLEMENT, GRAND THEFT
ROBBERY|ATTEMPTED ROBBERY WITH BODILY FORCE
ASSAULT|ASSAULT
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
ROBBERY|ROBBERY, ARMED WITH A GUN
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
MISSING PERSON|FOUND PERSON
SEX OFFENSES FORCIBLE|ORAL COPULATION, UNLAWFUL (ADULT VICTIM)
DRUG/NARCOTIC|MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ASSAULT|ATTEMPTED HOMICIDE WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
RUNAWAY|RUNAWAY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|THREATS AGAINST LIFE
BURGLARY|BURGLARY, UNLAWFUL ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
BURGLARY|BURGLARY, FORCIBLE ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
